state_in_path,x,y,sr,sf,tp,v,e
98,1283,250,10,12,-100,0.9917648,0.008269312858114768
99,1294,250,10,12,-100,0.9917648,0.008269312858114768
100,1305,250,10,12,-100,0.9917648,0.008269312858114768
101,1316,250,10,12,-100,0.9917648,0.008269312858114768
102,1327,250,10,12,-100,0.9917648,0.008269312858114768
103,1338,250,10,12,-100,0.9917648,0.008269312858114768
104,1349,250,10,12,-100,0.9917648,0.008269312858114768
105,1360,250,10,12,-100,0.9917648,0.008269312858114768
106,1371,250,10,12,-100,0.9917648,0.008269312858114768
107,1382,250,10,12,-100,0.9917648,0.008269312858114768
108,1393,250,10,12,-100,0.9917648,0.008269312858114768
109,1404,250,10,12,-100,0.9917648,0.008269312858114768
110,1415,250,10,12,-100,0.9917648,0.008269312858114768
111,1426,250,10,12,-100,0.9917648,0.008269312858114768
112,1437,250,10,12,-100,0.9917648,0.008269312858114768
113,1448,250,10,12,-100,0.9917648,0.008269312858114768
114,1459,250,10,12,-100,0.9917648,0.008269312858114768
115,1470,250,10,12,-100,0.9917648,0.008269312858114768
116,1481,250,10,12,-100,0.9917648,0.008269312858114768
117,1492,250,10,12,-100,0.9917648,0.008269312858114768
118,1503,250,10,12,-100,0.9917648,0.008269312858114768
119,1514,250,10,12,-100,0.9917648,0.008269312858114768
120,1525,250,10,12,-100,0.9917648,0.008269312858114768
121,1536,250,10,12,-100,0.9917648,0.008269312858114768
122,1547,250,10,12,-100,0.9917648,0.008269312858114768
123,1558,250,10,12,-100,0.9917648,0.008269312858114768
124,1569,250,10,12,-100,0.9917648,0.008269312858114768
125,1580,250,10,12,-100,0.9917648,0.008269312858114768
126,1591,250,10,12,-100,0.9917648,0.008269312858114768
127,1602,250,10,12,-100,0.9917648,0.008269312858114768
128,1613,250,10,12,-100,0.9917648,0.008269312858114768
129,1624,250,10,12,-100,0.9917648,0.008269312858114768
130,1635,250,10,12,-100,0.9917648,0.008269312858114768
131,1646,250,10,12,-100,0.9917648,0.008269312858114768
132,1657,250,10,12,-100,0.9917648,0.008269312858114768
133,1668,250,10,12,-100,0.9917648,0.008269312858114768
134,1679,250,10,12,-100,0.9917648,0.008269312858114768
135,1690,250,10,12,-100,0.9917648,0.008269312858114768
136,1701,250,10,12,-100,0.9917648,0.008269312858114768
137,1712,250,10,12,-100,0.9917648,0.008269312858114768
138,1723,250,10,12,-100,0.9917648,0.008269312858114768
139,1734,250,10,12,-100,0.9917648,0.008269312858114768
140,1745,250,10,12,-100,0.9917648,0.008269312858114768
141,1756,250,10,12,-100,0.9917648,0.008269312858114768
142,1767,250,10,12,-100,0.9917648,0.008269312858114768
143,1778,250,10,12,-100,0.9917648,0.008269312858114768
144,1789,250,10,12,-100,0.9917648,0.008269312858114768
145,1800,250,10,12,-100,0.9917648,0.008269312858114768
146,1811,250,10,12,-100,0.9917648,0.008269312858114768
147,1822,250,10,12,-100,0.9917648,0.008269312858114768
148,1833,250,10,12,-100,0.9917648,0.008269312858114768
149,1844,250,10,12,-100,0.9917648,0.008269312858114768
150,1855,250,10,12,-100,0.9917648,0.008269312858114768
151,1866,250,10,12,-100,0.9917648,0.008269312858114768
152,1877,250,10,12,-100,0.9917648,0.008269312858114768
153,1888,250,10,12,-100,0.9917648,0.008269312858114768
154,1899,250,10,12,-100,0.9917648,0.008269312858114768
155,1910,250,10,12,-100,0.9917648,0.008269312858114768
156,1921,250,10,12,-100,0.9917648,0.008269312858114768
157,1932,250,10,12,-100,0.9917648,0.008269312858114768
158,1943,250,10,12,-100,0.9917648,0.008269312858114768
159,1954,250,10,12,-100,0.9917648,0.008269312858114768
160,1965,250,10,12,-100,0.9917648,0.008269312858114768
161,1976,250,10,12,-100,0.9917648,0.008269312858114768
162,1987,250,10,12,-100,0.9917648,0.008269312858114768
163,1998,250,10,12,-100,0.9917648,0.008269312858114768
164,2009,250,10,12,-100,0.9917648,0.008269312858114768
165,2020,250,10,12,-100,0.9917648,0.008269312858114768
166,2031,250,10,12,-100,0.9917648,0.008269312858114768
167,2042,250,10,12,-100,0.9917648,0.008269312858114768
168,2053,250,10,12,-100,0.9917648,0.008269312858114768
169,2064,250,10,12,-100,0.9917648,0.008269312858114768
170,2075,250,10,12,-100,0.9917648,0.008269312858114768
171,2086,250,10,12,-100,0.9917648,0.008269312858114768
172,2097,250,10,12,-100,0.9917648,0.008269312858114768
173,2108,250,10,12,-100,0.9917648,0.008269312858114768
174,2119,250,10,12,-100,0.9917648,0.008269312858114768
175,2130,250,10,12,-100,0.9917648,0.008269312858114768
176,2141,250,10,12,-100,0.9917648,0.008269312858114768
177,2152,250,10,12,-100,0.9917648,0.008269312858114768
178,2163,250,10,12,-100,0.9917648,0.008269312858114768
179,2174,250,10,12,-100,0.9917648,0.008269312858114768
180,2185,250,10,12,-100,0.9917648,0.008269312858114768
181,2196,250,10,12,-100,0.9917648,0.008269312858114768
182,2207,250,10,12,-100,0.9917648,0.008269312858114768
183,2218,250,10,12,-100,0.9917648,0.008269312858114768
184,2229,250,10,12,-100,0.9917648,0.008269312858114768
185,2240,250,10,12,-100,0.9917648,0.008269312858114768
186,2251,250,10,12,-100,0.9917648,0.008269312858114768
187,2262,250,10,12,-100,0.9917648,0.008269312858114768
188,2273,250,10,12,-100,0.9917648,0.008269312858114768
189,2284,250,10,12,-100,0.9917648,0.008269312858114768
190,2295,250,10,12,-100,0.9917648,0.008269312858114768
191,2306,250,10,12,-100,0.9917648,0.008269312858114768
192,2317,250,10,12,-100,0.9917648,0.008269312858114768
193,2328,250,10,12,-100,0.9917648,0.008269312858114768
194,2339,250,10,12,-100,0.9917648,0.008269312858114768
195,2350,250,10,12,-100,0.9917648,0.008269312858114768
196,2361,250,10,12,-100,0.9917648,0.008269312858114768
197,2372,250,10,12,-100,0.9917648,0.008269312858114768
198,2383,250,10,12,-100,0.9917648,0.008269312858114768
199,2394,250,10,12,-100,0.9917648,0.008269312858114768
200,2405,250,10,12,-100,0.9917648,0.008269312858114768
201,2416,250,10,12,-100,0.9917648,0.008269312858114768
202,2427,250,10,12,-100,0.9917648,0.008269312858114768
203,2438,250,10,12,-100,1.0,-0.0
0,193,250,10,12,-100,0.9917648,0.008269312858114768
1,204,250,10,12,-100,0.9917648,0.008269312858114768
2,215,250,10,12,-100,0.9917648,0.008269312858114768
3,226,250,10,12,-100,0.9917648,0.008269312858114768
4,237,250,10,12,-100,0.9917648,0.008269312858114768
5,248,250,10,12,-100,0.9917648,0.008269312858114768
6,259,250,10,12,-100,0.9917648,0.008269312858114768
7,270,250,10,12,-100,0.9917648,0.008269312858114768
8,281,250,10,12,-100,0.9917648,0.008269312858114768
9,292,250,10,12,-100,0.9917648,0.008269312858114768
10,303,250,10,12,-100,0.9917648,0.008269312858114768
11,314,250,10,12,-100,0.9917648,0.008269312858114768
12,325,250,10,12,-100,0.9917648,0.008269312858114768
13,336,250,10,12,-100,0.9917648,0.008269312858114768
14,347,250,10,12,-100,0.9917648,0.008269312858114768
15,358,250,10,12,-100,0.9917648,0.008269312858114768
16,369,250,10,12,-100,0.9917648,0.008269312858114768
17,380,250,10,12,-100,0.9917648,0.008269312858114768
18,391,250,10,12,-100,0.9917648,0.008269312858114768
19,402,250,10,12,-100,0.9917648,0.008269312858114768
20,413,250,10,12,-100,0.9917648,0.008269312858114768
21,424,250,10,12,-100,0.9917648,0.008269312858114768
22,435,250,10,12,-100,0.9917648,0.008269312858114768
23,446,250,10,12,-100,0.9917648,0.008269312858114768
24,457,250,10,12,-100,0.9917648,0.008269312858114768
25,468,250,10,12,-100,0.9917648,0.008269312858114768
26,479,250,10,12,-100,0.9917648,0.008269312858114768
27,490,250,10,12,-100,0.9917648,0.008269312858114768
28,501,250,10,12,-100,0.9917648,0.008269312858114768
29,512,250,10,12,-100,0.9917648,0.008269312858114768
30,523,250,10,12,-100,0.9917648,0.008269312858114768
31,534,250,10,12,-100,0.9917648,0.008269312858114768
32,545,250,10,12,-100,0.9917648,0.008269312858114768
33,556,250,10,12,-100,0.9917648,0.008269312858114768
34,567,250,10,12,-100,0.9917648,0.008269312858114768
35,578,250,10,12,-100,0.9917648,0.008269312858114768
36,589,250,10,12,-100,0.9917648,0.008269312858114768
37,600,250,10,12,-100,0.9917648,0.008269312858114768
38,611,250,10,12,-100,0.9917648,0.008269312858114768
39,622,250,10,12,-100,0.9917648,0.008269312858114768
40,633,250,10,12,-100,0.9917648,0.008269312858114768
41,644,250,10,12,-100,0.9917648,0.008269312858114768
42,655,250,10,12,-100,0.9917648,0.008269312858114768
43,666,250,10,12,-100,0.9917648,0.008269312858114768
44,677,250,10,12,-100,0.9917648,0.008269312858114768
45,688,250,10,12,-100,0.9917648,0.008269312858114768
46,699,250,10,12,-100,0.9917648,0.008269312858114768
47,710,250,10,12,-100,0.9917648,0.008269312858114768
48,721,250,10,12,-100,0.9917648,0.008269312858114768
49,732,250,10,12,-100,0.9917648,0.008269312858114768
50,743,250,10,12,-100,0.9917648,0.008269312858114768
51,754,250,10,12,-100,0.9917648,0.008269312858114768
52,765,250,10,12,-100,0.9917648,0.008269312858114768
53,776,250,10,12,-100,0.9917648,0.008269312858114768
54,787,250,10,12,-100,0.9917648,0.008269312858114768
55,798,250,10,12,-100,0.9917648,0.008269312858114768
56,809,250,10,12,-100,0.9917648,0.008269312858114768
57,820,250,10,12,-100,0.9917648,0.008269312858114768
58,831,250,10,12,-100,0.9917648,0.008269312858114768
59,842,250,10,12,-100,0.9917648,0.008269312858114768
60,853,250,10,12,-100,0.9917648,0.008269312858114768
61,864,250,10,12,-100,0.9917648,0.008269312858114768
62,875,250,10,12,-100,0.9917648,0.008269312858114768
63,886,250,10,12,-100,0.9917648,0.008269312858114768
64,897,250,10,12,-100,0.9917648,0.008269312858114768
65,908,250,10,12,-100,0.9917648,0.008269312858114768
66,919,250,10,12,-100,0.9917648,0.008269312858114768
67,930,250,10,12,-100,0.9917648,0.008269312858114768
68,941,250,10,12,-100,0.9917648,0.008269312858114768
69,952,250,10,12,-100,0.9917648,0.008269312858114768
70,963,250,10,12,-100,0.9917648,0.008269312858114768
71,974,250,10,12,-100,0.9917648,0.008269312858114768
72,985,250,10,12,-100,0.9917648,0.008269312858114768
73,996,250,10,12,-100,0.9917648,0.008269312858114768
74,1007,250,10,12,-100,0.9917648,0.008269312858114768
75,1018,250,10,12,-100,0.9917648,0.008269312858114768
76,1029,250,10,12,-100,0.9917648,0.008269312858114768
77,1040,250,10,12,-100,0.9917648,0.008269312858114768
78,1051,250,10,12,-100,0.9917648,0.008269312858114768
79,1062,250,10,12,-100,0.9917648,0.008269312858114768
80,1073,250,10,12,-100,0.9917648,0.008269312858114768
81,1084,250,10,12,-100,0.9917648,0.008269312858114768
82,1095,250,10,12,-100,0.9917648,0.008269312858114768
83,1106,250,10,12,-100,0.9917648,0.008269312858114768
84,1117,250,10,12,-100,0.9917648,0.008269312858114768
85,1128,250,10,12,-100,0.9917648,0.008269312858114768
86,1139,250,10,12,-100,0.9917648,0.008269312858114768
87,1150,250,10,12,-100,0.9917648,0.008269312858114768
88,1161,250,10,12,-100,0.9917648,0.008269312858114768
89,1172,250,10,12,-100,0.9917648,0.008269312858114768
90,1183,250,10,12,-100,0.9917648,0.008269312858114768
91,1194,250,10,12,-100,0.9917648,0.008269312858114768
92,1205,250,10,12,-100,0.9917648,0.008269312858114768
93,1216,250,10,12,-100,0.9917648,0.008269312858114768
94,1227,250,10,12,-100,0.9917648,0.008269312858114768
95,1238,250,10,12,-100,0.9917648,0.008269312858114768
96,1249,250,10,12,-100,0.9917648,0.008269312858114768
97,1260,250,10,12,-100,0.9917648,0.008269312858114768
98,1271,250,10,12,-100,0.9917648,0.008269312858114768
99,1282,250,10,12,-100,0.9917648,0.008269312858114768
100,1293,250,10,12,-100,0.9917648,0.008269312858114768
101,1304,250,10,12,-100,0.9917648,0.008269312858114768
102,1315,250,10,12,-100,0.9917648,0.008269312858114768
103,1326,250,10,12,-100,0.9917648,0.008269312858114768
104,1337,250,10,12,-100,0.9917648,0.008269312858114768
105,1348,250,10,12,-100,0.9917648,0.008269312858114768
106,1359,250,10,12,-100,0.9917648,0.008269312858114768
107,1370,250,10,12,-100,0.9917648,0.008269312858114768
108,1381,250,10,12,-100,0.9917648,0.008269312858114768
109,1392,250,10,12,-100,0.9917648,0.008269312858114768
110,1403,250,10,12,-100,0.9917648,0.008269312858114768
111,1414,250,10,12,-100,0.9917648,0.008269312858114768
112,1425,250,10,12,-100,0.9917648,0.008269312858114768
113,1436,250,10,12,-100,0.9917648,0.008269312858114768
114,1447,250,10,12,-100,0.9917648,0.008269312858114768
115,1458,250,10,12,-100,0.9917648,0.008269312858114768
116,1469,250,10,12,-100,0.9917648,0.008269312858114768
117,1480,250,10,12,-100,0.9917648,0.008269312858114768
118,1491,250,10,12,-100,0.9917648,0.008269312858114768
