404,1572,15,7,10,-0.80886996
560,924,15,10,10,-0.49098128
404,1576,15,7,10,-0.7777237
584,904,10,11,15,-0.19663717
540,1528,15,9,10,-0.6740764
696,788,15,9,10,-0.66105986
548,1336,15,11,10,-0.31446004
408,1576,15,11,10,-0.39467543
596,580,10,12,15,0.008174663
468,452,10,12,15,0.02935368
340,324,10,12,15,0.054680835
404,1572,15,8,10,-0.7819644
560,924,15,9,10,-0.33227962
584,904,10,12,15,-0.022805743
696,788,15,10,10,-0.505738
540,1528,15,10,10,-0.24627759
468,456,10,11,15,-0.081914596
548,1336,15,12,10,-0.03752493
340,324,10,11,15,-0.1640085
596,580,10,11,15,-0.15655941
468,452,10,11,15,-0.19729829
408,1576,15,12,10,-0.13276866
264,1752,15,7,10,-0.8035512
312,296,15,8,10,-0.71750116
568,552,15,8,10,-0.73526764
696,680,15,8,10,-0.75659126
440,424,15,8,10,-0.7277333
556,932,15,8,10,-0.7455207
696,788,15,11,10,-0.24843688
536,1528,15,8,10,-0.7710117
296,1724,10,11,15,-0.2509545
692,796,15,8,10,-0.7328875
548,1336,15,9,10,-0.6325774
696,680,15,7,10,-0.78534305
568,552,15,7,10,-0.77753556
440,424,15,7,10,-0.7904326
312,296,15,7,10,-0.76205933
560,924,15,11,10,-0.27518213
264,1752,15,8,10,-0.758307
556,932,15,7,10,-0.770744
292,1724,10,8,15,-0.35463262
536,1528,15,7,10,-0.82044876
696,788,15,12,10,-0.020052362
540,1524,15,12,10,-0.09861635
692,796,15,7,10,-0.79539716
296,1724,10,12,15,-0.022156997
548,1336,15,10,10,-0.4901213
408,1576,15,10,10,-0.30196843
576,912,10,7,15,-0.76259685
552,1364,15,12,10,-0.085801825
716,700,10,8,15,-0.73598146
460,444,10,8,15,-0.5562103
332,316,10,8,15,-0.63671285
588,572,10,8,15,-0.74957407
540,1328,15,7,10,-0.7786814
552,1360,15,12,10,-0.025751807
564,924,15,10,10,-0.5085297
716,720,10,9,15,-0.44916654
424,1580,10,9,15,-0.6951113
288,1732,10,10,15,-0.42561895
552,1352,15,12,10,-0.026019776
272,1744,15,9,10,-0.7089735
716,716,10,9,15,-0.59389627
716,748,10,10,15,-0.41302156
552,1348,15,11,10,-0.2566855
712,776,10,7,15,-0.81521034
552,1380,15,12,10,-0.10649568
552,1344,15,11,10,-0.26570845
552,1376,15,12,10,-0.05482754
700,788,15,9,10,-0.6647121
412,1580,15,11,10,-0.44816417
552,1368,15,12,10,-0.10952132
544,1520,15,9,10,-0.71456695
716,732,10,9,15,-0.54568124
576,560,15,10,10,-0.48698294
320,304,15,10,10,-0.45300198
448,432,15,10,10,-0.47562563
704,688,15,10,10,-0.4831288
716,764,10,10,15,-0.47714484
552,1364,15,11,10,-0.2944874
332,316,10,7,15,-0.76521933
460,444,10,7,15,-0.80086696
716,700,10,7,15,-0.7563944
588,572,10,7,15,-0.78283095
576,912,10,8,15,-0.76613796
540,1324,15,8,10,-0.7348498
332,320,10,7,15,-0.36138177
540,1328,15,8,10,-0.75870407
564,924,15,9,10,-0.6698236
288,1732,10,9,15,-0.47702825
424,1580,10,10,15,-0.5514831
552,1352,15,11,10,-0.2748225
716,748,10,9,15,-0.5682117
272,1744,15,10,10,-0.54064935
716,716,10,10,15,-0.37564287
552,1380,15,11,10,-0.34571046
552,1348,15,12,10,-0.041938163
